Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-03-19,-1.1969716731736662,-1.2026740762097408,-1.2032910193023398,-1.203850087384663,-1.203850087384663,0.1178150519822141,2,3,1,-1.209904896466568,-1.203741319018444,-1.1968581512427017,-1.1995722506475972,0.0006882647865715524
2014-03-20,-1.2060741916829667,-1.2039396339298456,-1.202229064125752,-1.2006709568921936,-1.2006709568921936,0.1044857622699007,3,3,1,-1.2067028993983202,-1.2046344129136854,-1.203850087384663,-1.2166809422334317,-0.00027592627715198665
2014-03-21,-1.1946763237323663,-1.1999512498803278,-1.2074619334543917,-1.2122290174444192,-1.2122290174444192,0.2326175452227397,4,3,1,-1.2049955624374324,-1.2062506424968322,-1.2006709568921936,-1.2207657022488585,0.0022392543583744785
2014-03-24,-1.2083858749341942,-1.2147657179642934,-1.2287909412593303,-1.2259354908360016,-1.2259354908360016,0.1583031817861138,0,3,1,-1.2079087407599958,-1.2091893829524583,-1.2122290174444192,-1.2113695992231843,0.0017899079445635247
2014-03-25,-1.2184050723993776,-1.2188593782894432,-1.2252154506664985,-1.2237925222510968,-1.2237925222510968,0.1432871157223865,1,3,1,-1.213295614961675,-1.2111724720404147,-1.2259354908360016,-1.1968581512427017,-0.0002504697758650411
2014-03-26,-1.2177713780127124,-1.2218951353097174,-1.2334638925775796,-1.240297416946322,-1.240297416946322,0.1602098529361911,2,3,1,-1.2205850808740066,-1.2152449886702872,-1.2237925222510968,-1.203850087384663,0.0021606985692193743
2014-03-27,-1.2410595149567107,-1.242656998956848,-1.244925532601182,-1.2463756236764911,-1.2463756236764911,0.143277037210781,3,3,1,-1.2297260142308661,-1.2182144568145932,-1.240297416946322,-1.2006709568921936,0.0007021440502531957
2014-03-28,-1.2427375038212731,-1.2379723938526106,-1.2413913093816409,-1.245143728597041,-1.245143728597041,0.1212133428498915,4,3,1,-1.2363089564613905,-1.2206522594494114,-1.2463756236764911,-1.2122290174444192,-0.00011980507142783745
2014-03-31,-1.2366320200957597,-1.2354142677305826,-1.231554088142003,-1.2333870140830396,-1.2333870140830396,0.1268032518775809,0,3,1,-1.2377992611107982,-1.222854000935397,-1.245143728597041,-1.2259354908360016,-0.0011972831710371846
2014-04-01,-1.2273199523950644,-1.220510729995952,-1.221063830037712,-1.2146086181463482,-1.2146086181463482,0.1325095219028962,1,4,2,-1.2359624802898483,-1.2246290476257617,-1.2333870140830396,-1.2237925222510968,-0.0020174659204793013
2014-04-02,-1.2105290421876247,-1.215683296436664,-1.2100632281689712,-1.2123187835976186,-1.2123187835976186,0.1356219495323112,2,4,2,-1.2303667536201077,-1.225475917247057,-1.2146086181463482,-1.240297416946322,-0.0002556805714742096
